Clock frequency is approx. 3441.4 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	20281	12188	7388	5316	4247	3509	2963	2621	2433	2271	2131	2020	1940	1849	1847	
64m	20329	12599	7249	5321	4259	3532	2911	2574	2458	2175	2038	1836	1771	1709	1731	
32m	17033	10267	7328	5417	4358	3580	3131	2360	2362	2258	2204	2072	1481	1810	1362	
16m	17264	10575	7768	5812	4645	3882	3301	2110	1999	1884	1837	1721	1797	1785	1897	
8m	17293	12061	9465	7343	5554	3325	3977	2945	3091	3027	2426	2500	2450	2569	2585	
4m	15645	12595	11078	9420	7986	7245	6634	6197	5927	5725	5532	5583	5465	5540	5454	
2m	23909	18355	15159	12140	10112	8686	7602	6684	6423	6192	5993	5803	5658	5547	5430	
1024k	23899	18019	15056	12171	10016	8671	7607	6723	6456	6192	6008	5832	5655	5524	5449	
512k	23952	17992	15135	12300	10272	8852	7682	6806	6536	6335	6252	6163	6222	6108	6238	
256k	24960	19527	17467	15234	13246	11560	10352	9155	8929	8795	8739	8776	8854	9304	8877	
128k	25414	20514	19438	17314	15048	13516	12022	10959	10580	10671	10712	10832	10568	10779	10911	
64k	26216	21961	21261	19742	16945	14827	12531	11650	11526	11304	11190	11180	11746	12595	20373	
32k	30577	30710	30070	28534	28838	27356	28462	24345	24805	27975	26899	25188	26602	25009	25740	
16k	31031	30152	29137	27531	27298	27075	25977	26104	26540	24509	19709	24855	19710	23546	20096	
